
X_km  Z_floor  
629.9 98       
630   98       
630.1 98       
630.2 98       
630.3 98       
630.4 97       
630.5 97       
630.6 97       
630.7 97       
630.8 97       
630.9 97       
631   97       
631.1 97       
631.2 97       
631.3 97       
631.4 97       
631.5 97       
631.6 97       
631.7 97       
631.8 97       
631.9 97       
632   97       
632.1 97       
632.2 97       
632.3 97       
632.4 97       
632.5 97       
632.6 97       
632.7 97       
632.8 97       
632.9 97       
633   97       
633.1 97       
633.2 96       
633.3 96       
633.4 96       
633.5 96       
633.6 96       
633.7 95       
633.8 95       
633.9 95       
634   95       
634.1 94       
634.2 94       
634.3 94       
634.4 93       
634.5 93       
634.6 93       
634.7 92       
634.8 92       
634.9 91       
635   90       
635.1 90       
635.2 89       
635.3 88       
635.4 88       
635.5 87       
635.6 86       
635.7 85       
635.8 84       
635.9 83       
636   82       
636.1 81       
636.2 80       
636.3 79       
636.4 78       
636.5 77       
636.6 76       
636.7 76       
636.8 75       
636.9 74       
637   73       
637.1 72       
637.2 72       
637.3 71       
637.4 71       
637.5 70       
637.6 70       
637.7 69       
637.8 69       
637.9 69       
638   68       
638.1 68       
638.2 68       
638.3 68       
638.4 68       
638.5 68       
638.6 68       
638.7 68       
638.8 69       
638.9 70       
639   70       
639.1 71       
639.2 72       
639.3 74       
639.4 75       
639.5 76       
639.6 78       
639.7 79       
639.8 80       
639.9 81       
640   82       
640.1 83       
640.2 84       
640.3 85       
640.4 85       
640.5 86       
640.6 86       
640.7 87       
640.8 87       
640.9 87       
641   87       
641.1 86       
641.2 86       
641.3 85       
641.4 84       
641.5 82       
641.6 81       
641.7 80       
641.8 78       
641.9 77       
642   75       
642.1 74       
642.2 73       
642.3 72       
642.4 71       
642.5 71       
642.6 71       
642.7 71       
642.8 71       
642.9 71       
643   71       
643.1 72       
643.2 72       
643.3 72       
643.4 73       
643.5 73       
643.6 74       
643.7 74       
643.8 75       
643.9 76       
644   77       
644.1 78       
644.2 79       
644.3 80       
644.4 81       
644.5 82       
644.6 83       
644.7 84       
644.8 84       
644.9 85       
645   85       
645.1 85       
645.2 85       
645.3 85       
645.4 85       
645.5 84       
645.6 84       
645.7 83       
645.8 82       
645.9 82       
646   81       
646.1 80       
646.2 80       
646.3 79       
646.4 79       
646.5 79       
646.6 78       
646.7 78       
646.8 78       
646.9 79       
