
X_km  Z_floor  
630.4 1113     
630.5 1113     
630.6 1112     
630.7 1110     
630.8 1106     
630.9 1099     
631   1094     
631.1 1091     
631.2 1088     
631.3 1086     
631.4 1083     
631.5 1080     
631.6 1078     
631.7 1077     
631.8 1077     
631.9 1077     
632   1077     
632.1 1076     
632.2 1076     
632.3 1075     
632.4 1074     
632.5 1072     
632.6 1070     
632.7 1066     
632.8 1064     
632.9 1062     
633   1061     
633.1 1060     
633.2 1058     
633.3 1055     
633.4 1052     
633.5 1051     
633.6 1051     
633.7 1053     
633.8 1054     
633.9 1055     
634   1054     
634.1 1052     
634.2 1050     
634.3 1048     
634.4 1046     
634.5 1044     
634.6 1042     
634.7 1040     
634.8 1039     
634.9 1038     
635   1037     
635.1 1035     
635.2 1034     
635.3 1032     
635.4 1030     
635.5 1028     
635.6 1026     
635.7 1024     
635.8 1023     
635.9 1021     
636   1019     
636.1 1018     
636.2 1016     
636.3 1014     
636.4 1012     
636.5 1010     
636.6 1008     
636.7 1007     
636.8 1005     
636.9 1003     
637   1001     
637.1 998      
637.2 995      
637.3 992      
637.4 989      
637.5 987      
637.6 984      
637.7 981      
637.8 979      
637.9 976      
638   974      
638.1 972      
638.2 971      
638.3 970      
638.4 969      
638.5 969      
638.6 969      
638.7 971      
638.8 973      
638.9 974      
639   974      
639.1 974      
639.2 974      
639.3 974      
639.4 975      
639.5 975      
639.6 974      
639.7 973      
639.8 971      
639.9 969      
640   966      
640.1 964      
640.2 960      
640.3 955      
640.4 950      
640.5 945      
640.6 943      
640.7 943      
640.8 943      
640.9 942      
641   941      
641.1 940      
641.2 939      
641.3 941      
641.4 941      
641.5 939      
641.6 937      
641.7 935      
641.8 932      
641.9 930      
642   929      
642.1 929      
642.2 927      
642.3 925      
642.4 923      
642.5 921      
642.6 920      
642.7 920      
642.8 918      
642.9 916      
643   912      
643.1 908      
643.2 906      
643.3 907      
643.4 908      
643.5 907      
643.6 907      
643.7 906      
643.8 905      
643.9 906      
644   907      
644.1 908      
644.2 911      
644.3 915      
644.4 916      
644.5 913      
644.6 911      
644.7 912      
644.8 913      
644.9 917      
645   919      
645.1 921      
645.2 921      
645.3 918      
645.4 916      
645.5 913      
645.6 912      
645.7 915      
645.8 917      
645.9 917      
646   917      
646.1 916      
646.2 915      
646.3 916      
646.4 916      
646.5 916      
646.6 917      
646.7 916      
646.8 916      
646.9 915      
647   915      
647.1 915      
647.2 914      
647.3 913      
647.4 912      
647.5 911      
647.6 910      
647.7 910      
647.8 909      
647.9 909      
648   909      
648.1 908      
648.2 907      
648.3 907      
648.4 906      
648.5 906      
648.6 906      
648.7 905      
