
X_km  Z_floor  
629.2 1419     
629.3 1419     
629.4 1418     
629.5 1417     
629.6 1416     
629.7 1415     
629.8 1414     
629.9 1413     
630   1412     
630.1 1412     
630.2 1410     
630.3 1407     
630.4 1403     
630.5 1396     
630.6 1388     
630.7 1379     
630.8 1372     
630.9 1368     
631   1366     
631.1 1365     
631.2 1364     
631.3 1363     
631.4 1362     
631.5 1361     
631.6 1360     
631.7 1359     
631.8 1358     
631.9 1356     
632   1355     
632.1 1354     
632.2 1353     
632.3 1351     
632.4 1350     
632.5 1348     
632.6 1346     
632.7 1344     
632.8 1343     
632.9 1341     
633   1338     
633.1 1335     
633.2 1332     
633.3 1329     
633.4 1326     
633.5 1323     
633.6 1320     
633.7 1317     
633.8 1314     
633.9 1312     
634   1310     
634.1 1309     
634.2 1308     
634.3 1308     
634.4 1307     
634.5 1306     
634.6 1306     
634.7 1305     
634.8 1305     
634.9 1305     
635   1305     
635.1 1304     
635.2 1304     
635.3 1303     
635.4 1301     
635.5 1300     
635.6 1299     
635.7 1298     
635.8 1297     
635.9 1296     
636   1295     
636.1 1294     
636.2 1293     
636.3 1292     
636.4 1290     
636.5 1289     
636.6 1287     
636.7 1285     
636.8 1283     
636.9 1282     
637   1280     
637.1 1278     
637.2 1277     
637.3 1276     
637.4 1274     
637.5 1273     
637.6 1271     
637.7 1269     
637.8 1267     
637.9 1265     
638   1263     
638.1 1262     
638.2 1262     
638.3 1262     
638.4 1263     
638.5 1264     
638.6 1266     
638.7 1267     
638.8 1269     
638.9 1271     
639   1272     
639.1 1273     
639.2 1274     
639.3 1275     
639.4 1276     
639.5 1276     
639.6 1275     
639.7 1274     
639.8 1273     
639.9 1271     
640   1270     
640.1 1268     
640.2 1266     
640.3 1264     
640.4 1262     
640.5 1260     
640.6 1259     
640.7 1258     
640.8 1258     
640.9 1258     
641   1258     
641.1 1259     
641.2 1259     
641.3 1259     
641.4 1259     
641.5 1259     
641.6 1259     
641.7 1258     
641.8 1258     
641.9 1257     
642   1257     
642.1 1257     
642.2 1256     
642.3 1255     
642.4 1254     
642.5 1253     
642.6 1252     
642.7 1251     
642.8 1250     
642.9 1248     
643   1246     
643.1 1245     
643.2 1244     
643.3 1244     
643.4 1243     
643.5 1243     
643.6 1243     
643.7 1243     
643.8 1243     
643.9 1244     
644   1245     
644.1 1246     
644.2 1248     
644.3 1249     
644.4 1250     
644.5 1250     
644.6 1251     
644.7 1251     
644.8 1251     
644.9 1251     
645   1251     
645.1 1252     
645.2 1252     
645.3 1252     
645.4 1251     
645.5 1251     
645.6 1252     
645.7 1253     
645.8 1254     
645.9 1254     
646   1255     
646.1 1254     
646.2 1253     
646.3 1252     
646.4 1251     
646.5 1250     
646.6 1249     
646.7 1249     
646.8 1248     
646.9 1247     
