
X_km  Z_floor  
629.3 1858     
629.4 1852     
629.5 1846     
629.6 1840     
629.7 1835     
629.8 1830     
629.9 1826     
630   1822     
630.1 1819     
630.2 1816     
630.3 1814     
630.4 1811     
630.5 1808     
630.6 1805     
630.7 1800     
630.8 1796     
630.9 1790     
631   1784     
631.1 1778     
631.2 1772     
631.3 1766     
631.4 1760     
631.5 1754     
631.6 1748     
631.7 1744     
631.8 1739     
631.9 1735     
632   1731     
632.1 1728     
632.2 1724     
632.3 1721     
632.4 1719     
632.5 1716     
632.6 1714     
632.7 1712     
632.8 1710     
632.9 1709     
633   1707     
633.1 1706     
633.2 1704     
633.3 1702     
633.4 1700     
633.5 1698     
633.6 1696     
633.7 1694     
633.8 1692     
633.9 1691     
634   1689     
634.1 1687     
634.2 1685     
634.3 1683     
634.4 1681     
634.5 1678     
634.6 1676     
634.7 1673     
634.8 1670     
634.9 1667     
635   1664     
635.1 1661     
635.2 1659     
635.3 1656     
635.4 1654     
635.5 1652     
635.6 1651     
635.7 1650     
635.8 1649     
635.9 1649     
636   1648     
636.1 1647     
636.2 1647     
636.3 1646     
636.4 1646     
636.5 1645     
636.6 1645     
636.7 1645     
636.8 1645     
636.9 1645     
637   1645     
637.1 1645     
637.2 1646     
637.3 1646     
637.4 1647     
637.5 1647     
637.6 1648     
637.7 1649     
637.8 1650     
637.9 1651     
638   1651     
638.1 1652     
638.2 1653     
638.3 1654     
638.4 1654     
638.5 1655     
638.6 1656     
638.7 1656     
638.8 1656     
638.9 1656     
639   1656     
639.1 1655     
639.2 1654     
639.3 1653     
639.4 1652     
639.5 1651     
639.6 1650     
639.7 1649     
639.8 1648     
639.9 1646     
640   1645     
640.1 1643     
640.2 1641     
640.3 1639     
640.4 1637     
640.5 1634     
640.6 1631     
640.7 1628     
640.8 1625     
640.9 1622     
641   1619     
641.1 1616     
641.2 1613     
641.3 1610     
641.4 1607     
641.5 1605     
641.6 1603     
641.7 1601     
641.8 1599     
641.9 1597     
642   1595     
642.1 1594     
642.2 1592     
642.3 1591     
642.4 1589     
642.5 1588     
642.6 1587     
642.7 1587     
642.8 1587     
642.9 1587     
643   1588     
643.1 1589     
643.2 1591     
643.3 1592     
643.4 1594     
643.5 1595     
643.6 1596     
643.7 1597     
643.8 1598     
643.9 1600     
644   1601     
644.1 1602     
644.2 1603     
644.3 1604     
644.4 1605     
644.5 1606     
644.6 1606     
644.7 1607     
644.8 1608     
644.9 1609     
645   1610     
645.1 1610     
645.2 1611     
645.3 1612     
645.4 1612     
645.5 1613     
645.6 1614     
645.7 1614     
645.8 1615     
645.9 1615     
646   1616     
646.1 1616     
646.2 1616     
646.3 1615     
646.4 1614     
646.5 1613     
646.6 1612     
646.7 1611     
646.8 1610     
646.9 1609     
647   1607     
647.1 1606     
647.2 1605     
647.3 1605     
647.4 1604     
647.5 1603     
647.6 1603     
647.7 1603     
647.8 1603     
647.9 1603     
648   1603     
648.1 1603     
648.2 1603     
648.3 1602     
648.4 1602     
648.5 1600     
648.6 1599     
648.7 1598     
