
X_km  Z_floor  
655.2 1778     
655.3 1779     
655.4 1780     
655.5 1781     
655.6 1782     
655.7 1782     
655.8 1783     
655.9 1784     
656   1786     
656.1 1786     
656.2 1787     
656.3 1788     
656.4 1789     
656.5 1790     
656.6 1791     
656.7 1792     
656.8 1793     
656.9 1794     
657   1795     
657.1 1796     
657.2 1797     
657.3 1797     
657.4 1798     
657.5 1799     
657.6 1800     
657.7 1802     
657.8 1803     
657.9 1804     
658   1805     
658.1 1806     
658.2 1808     
658.3 1809     
658.4 1811     
658.5 1812     
658.6 1812     
658.7 1811     
658.8 1810     
658.9 1809     
659   1808     
659.1 1808     
659.2 1808     
659.3 1809     
659.4 1810     
659.5 1812     
659.6 1813     
659.7 1814     
659.8 1815     
659.9 1816     
660   1816     
660.1 1816     
660.2 1816     
660.3 1815     
660.4 1815     
660.5 1814     
660.6 1813     
660.7 1811     
660.8 1809     
660.9 1808     
661   1807     
661.1 1806     
661.2 1806     
661.3 1806     
661.4 1807     
661.5 1807     
661.6 1808     
661.7 1807     
661.8 1807     
661.9 1807     
662   1807     
662.1 1807     
662.2 1806     
662.3 1804     
662.4 1802     
662.5 1801     
662.6 1802     
662.7 1806     
662.8 1810     
662.9 1814     
663   1815     
663.1 1813     
663.2 1808     
663.3 1801     
663.4 1796     
663.5 1793     
663.6 1791     
663.7 1791     
663.8 1791     
663.9 1791     
664   1791     
664.1 1791     
664.2 1792     
664.3 1792     
664.4 1793     
664.5 1793     
664.6 1793     
664.7 1793     
664.8 1794     
664.9 1794     
665   1793     
665.1 1792     
665.2 1792     
665.3 1791     
665.4 1791     
665.5 1791     
665.6 1791     
665.7 1790     
665.8 1790     
665.9 1789     
666   1789     
666.1 1789     
666.2 1789     
666.3 1789     
666.4 1790     
666.5 1790     
666.6 1790     
666.7 1791     
666.8 1791     
666.9 1793     
667   1794     
667.1 1796     
667.2 1797     
667.3 1798     
667.4 1798     
667.5 1799     
667.6 1799     
667.7 1800     
667.8 1800     
667.9 1799     
668   1798     
668.1 1796     
668.2 1795     
668.3 1793     
668.4 1793     
668.5 1793     
668.6 1794     
668.7 1795     
668.8 1797     
668.9 1798     
669   1799     
669.1 1800     
669.2 1801     
669.3 1802     
669.4 1804     
669.5 1806     
669.6 1807     
669.7 1808     
669.8 1808     
669.9 1808     
670   1808     
670.1 1808     
670.2 1808     
670.3 1808     
670.4 1808     
670.5 1808     
670.6 1808     
670.7 1808     
670.8 1809     
670.9 1809     
671   1809     
671.1 1809     
671.2 1809     
671.3 1810     
671.4 1811     
671.5 1813     
671.6 1814     
671.7 1817     
671.8 1819     
671.9 1821     
672   1824     
672.1 1826     
672.2 1827     
672.3 1827     
672.4 1827     
672.5 1827     
672.6 1827     
672.7 1827     
672.8 1827     
672.9 1826     
673   1825     
673.1 1825     
673.2 1824     
673.3 1825     
673.4 1825     
673.5 1825     
673.6 1825     
673.7 1825     
673.8 1825     
673.9 1826     
674   1827     
674.1 1828     
674.2 1828     
674.3 1828     
674.4 1828     
674.5 1828     
674.6 1827     
674.7 1826     
674.8 1826     
674.9 1826     
675   1826     
675.1 1827     
675.2 1828     
675.3 1829     
675.4 1829     
675.5 1829     
675.6 1829     
675.7 1828     
675.8 1826     
675.9 1822     
676   1821     
676.1 1821     
676.2 1823     
676.3 1827     
676.4 1831     
676.5 1834     
676.6 1836     
676.7 1838     
676.8 1839     
676.9 1841     
677   1842     
677.1 1843     
677.2 1843     
677.3 1843     
677.4 1843     
677.5 1843     
677.6 1844     
677.7 1844     
677.8 1845     
677.9 1846     
678   1847     
678.1 1848     
678.2 1849     
678.3 1850     
678.4 1851     
678.5 1851     
678.6 1852     
678.7 1851     
678.8 1851     
678.9 1851     
679   1851     
679.1 1851     
679.2 1852     
679.3 1853     
679.4 1854     
679.5 1855     
679.6 1855     
679.7 1854     
679.8 1854     
679.9 1853     
680   1853     
680.1 1852     
680.2 1851     
680.3 1850     
680.4 1850     
680.5 1849     
680.6 1849     
680.7 1849     
680.8 1849     
680.9 1849     
681   1849     
681.1 1849     
681.2 1849     
681.3 1848     
681.4 1848     
681.5 1847     
681.6 1847     
681.7 1848     
681.8 1849     
681.9 1851     
682   1853     
682.1 1856     
682.2 1858     
682.3 1860     
682.4 1861     
682.5 1862     
682.6 1863     
682.7 1865     
682.8 1868     
682.9 1872     
683   1875     
683.1 1878     
683.2 1881     
683.3 1882     
683.4 1883     
683.5 1883     
683.6 1882     
683.7 1882     
683.8 1882     
683.9 1882     
684   1882     
684.1 1883     
684.2 1884     
684.3 1885     
684.4 1887     
684.5 1889     
684.6 1891     
684.7 1894     
684.8 1898     
684.9 1901     
685   1905     
685.1 1909     
685.2 1913     
685.3 1916     
685.4 1919     
685.5 1921     
685.6 1922     
685.7 1924     
685.8 1925     
685.9 1926     
686   1927     
686.1 1928     
686.2 1929     
686.3 1929     
686.4 1929     
686.5 1929     
686.6 1928     
686.7 1926     
686.8 1925     
686.9 1924     
687   1924     
687.1 1925     
687.2 1927     
687.3 1928     
687.4 1929     
687.5 1930     
687.6 1930     
687.7 1929     
687.8 1928     
687.9 1927     
688   1926     
688.1 1925     
688.2 1924     
688.3 1923     
688.4 1922     
688.5 1921     
688.6 1922     
688.7 1922     
688.8 1923     
688.9 1924     
689   1925     
689.1 1925     
689.2 1926     
689.3 1928     
689.4 1929     
689.5 1931     
689.6 1931     
689.7 1931     
689.8 1930     
689.9 1928     
690   1926     
690.1 1925     
690.2 1924     
690.3 1923     
690.4 1923     
690.5 1923     
690.6 1923     
690.7 1924     
690.8 1924     
690.9 1925     
691   1925     
691.1 1925     
691.2 1925     
691.3 1925     
691.4 1924     
691.5 1923     
691.6 1923     
691.7 1922     
691.8 1921     
691.9 1920     
692   1918     
692.1 1915     
692.2 1913     
692.3 1910     
692.4 1909     
692.5 1908     
692.6 1906     
692.7 1905     
692.8 1903     
692.9 1901     
693   1898     
693.1 1895     
693.2 1893     
693.3 1892     
693.4 1892     
693.5 1892     
693.6 1893     
693.7 1892     
693.8 1892     
693.9 1892     
694   1893     
694.1 1895     
694.2 1897     
694.3 1900     
694.4 1902     
694.5 1904     
694.6 1905     
694.7 1904     
694.8 1904     
694.9 1903     
695   1903     
695.1 1903     
695.2 1904     
695.3 1905     
695.4 1905     
695.5 1906     
695.6 1906     
695.7 1906     
695.8 1906     
695.9 1906     
696   1906     
696.1 1906     
696.2 1906     
696.3 1906     
696.4 1906     
696.5 1906     
696.6 1905     
696.7 1905     
696.8 1905     
696.9 1905     
697   1905     
697.1 1905     
697.2 1904     
697.3 1903     
697.4 1901     
697.5 1899     
697.6 1897     
697.7 1895     
697.8 1893     
697.9 1891     
698   1890     
698.1 1888     
698.2 1887     
698.3 1886     
698.4 1886     
698.5 1885     
698.6 1885     
698.7 1884     
698.8 1883     
698.9 1882     
699   1882     
699.1 1882     
699.2 1882     
699.3 1882     
699.4 1882     
699.5 1882     
699.6 1882     
699.7 1883     
699.8 1884     
699.9 1884     
700   1885     
700.1 1885     
700.2 1886     
700.3 1886     
700.4 1887     
700.5 1888     
700.6 1889     
700.7 1890     
700.8 1891     
700.9 1893     
701   1894     
701.1 1896     
701.2 1898     
701.3 1899     
701.4 1901     
701.5 1902     
701.6 1904     
701.7 1905     
701.8 1906     
701.9 1907     
702   1907     
702.1 1907     
702.2 1906     
702.3 1905     
702.4 1905     
702.5 1904     
702.6 1904     
702.7 1904     
702.8 1904     
702.9 1905     
703   1905     
703.1 1906     
703.2 1908     
703.3 1909     
703.4 1911     
703.5 1912     
703.6 1914     
703.7 1915     
703.8 1917     
703.9 1917     
704   1918     
704.1 1917     
704.2 1917     
704.3 1917     
704.4 1917     
704.5 1917     
704.6 1916     
704.7 1916     
704.8 1916     
704.9 1915     
705   1913     
705.1 1911     
705.2 1909     
705.3 1908     
705.4 1906     
705.5 1905     
705.6 1905     
705.7 1904     
705.8 1903     
705.9 1902     
706   1900     
706.1 1897     
706.2 1895     
706.3 1892     
706.4 1890     
706.5 1887     
706.6 1885     
706.7 1883     
706.8 1881     
706.9 1879     
707   1877     
707.1 1874     
707.2 1872     
707.3 1871     
707.4 1869     
707.5 1868     
707.6 1868     
707.7 1867     
707.8 1866     
707.9 1865     
708   1864     
708.1 1863     
708.2 1862     
708.3 1861     
708.4 1861     
708.5 1861     
708.6 1861     
708.7 1861     
708.8 1861     
708.9 1861     
709   1860     
709.1 1859     
709.2 1859     
709.3 1858     
709.4 1858     
709.5 1859     
709.6 1860     
709.7 1861     
709.8 1863     
709.9 1864     
710   1866     
710.1 1867     
710.2 1868     
710.3 1869     
710.4 1869     
710.5 1869     
710.6 1868     
710.7 1866     
710.8 1863     
710.9 1860     
711   1857     
711.1 1853     
711.2 1851     
711.3 1849     
711.4 1847     
711.5 1847     
711.6 1847     
711.7 1847     
711.8 1847     
711.9 1848     
712   1849     
712.1 1849     
712.2 1850     
712.3 1849     
712.4 1848     
712.5 1846     
712.6 1843     
712.7 1839     
712.8 1836     
712.9 1833     
713   1830     
713.1 1828     
713.2 1828     
713.3 1829     
713.4 1831     
713.5 1833     
713.6 1836     
713.7 1838     
713.8 1840     
713.9 1841     
714   1841     
714.1 1841     
714.2 1841     
714.3 1842     
714.4 1842     
714.5 1842     
714.6 1842     
714.7 1842     
714.8 1842     
714.9 1841     
715   1840     
715.1 1840     
715.2 1840     
715.3 1839     
715.4 1839     
715.5 1839     
715.6 1839     
715.7 1840     
715.8 1840     
715.9 1840     
716   1840     
716.1 1840     
716.2 1839     
716.3 1837     
716.4 1836     
716.5 1834     
716.6 1832     
716.7 1830     
716.8 1829     
716.9 1827     
717   1826     
717.1 1825     
717.2 1824     
717.3 1823     
717.4 1822     
717.5 1821     
717.6 1820     
717.7 1819     
717.8 1819     
717.9 1819     
718   1820     
718.1 1822     
718.2 1824     
718.3 1828     
718.4 1831     
718.5 1835     
718.6 1838     
718.7 1841     
718.8 1843     
718.9 1845     
719   1845     
719.1 1845     
719.2 1844     
719.3 1842     
719.4 1840     
719.5 1838     
719.6 1836     
719.7 1835     
719.8 1835     
719.9 1835     
720   1836     
720.1 1838     
720.2 1839     
720.3 1840     
720.4 1841     
720.5 1842     
720.6 1842     
720.7 1841     
720.8 1841     
720.9 1840     
721   1840     
721.1 1840     
721.2 1841     
721.3 1842     
721.4 1843     
721.5 1844     
721.6 1845     
721.7 1846     
721.8 1846     
721.9 1846     
722   1846     
722.1 1847     
722.2 1847     
722.3 1848     
722.4 1850     
722.5 1851     
722.6 1853     
722.7 1855     
722.8 1856     
722.9 1858     
723   1859     
723.1 1861     
723.2 1861     
723.3 1862     
723.4 1861     
723.5 1861     
723.6 1860     
723.7 1859     
723.8 1858     
723.9 1857     
724   1857     
724.1 1856     
724.2 1856     
724.3 1855     
724.4 1854     
724.5 1853     
724.6 1851     
724.7 1850     
724.8 1848     
724.9 1846     
725   1844     
725.1 1842     
725.2 1840     
725.3 1840     
725.4 1839     
725.5 1840     
725.6 1840     
725.7 1840     
725.8 1840     
725.9 1839     
726   1839     
726.1 1839     
726.2 1839     
726.3 1841     
726.4 1842     
726.5 1843     
726.6 1844     
726.7 1844     
726.8 1845     
726.9 1846     
727   1847     
727.1 1848     
727.2 1850     
727.3 1851     
727.4 1853     
727.5 1854     
727.6 1855     
727.7 1856     
727.8 1856     
727.9 1856     
728   1856     
728.1 1855     
728.2 1854     
728.3 1853     
728.4 1851     
728.5 1850     
728.6 1848     
728.7 1847     
728.8 1847     
728.9 1847     
729   1848     
729.1 1850     
729.2 1851     
729.3 1852     
729.4 1853     
729.5 1852     
729.6 1851     
729.7 1849     
729.8 1847     
729.9 1845     
730   1845     
730.1 1844     
730.2 1844     
730.3 1844     
730.4 1843     
730.5 1842     
730.6 1840     
730.7 1839     
730.8 1837     
730.9 1834     
731   1832     
731.1 1829     
731.2 1827     
731.3 1826     
731.4 1826     
731.5 1825     
731.6 1823     
731.7 1821     
731.8 1820     
731.9 1820     
732   1819     
732.1 1819     
732.2 1818     
732.3 1818     
732.4 1817     
732.5 1817     
732.6 1817     
732.7 1817     
732.8 1817     
732.9 1817     
733   1817     
733.1 1817     
733.2 1817     
733.3 1817     
733.4 1817     
733.5 1817     
733.6 1817     
733.7 1817     
733.8 1817     
733.9 1817     
734   1816     
734.1 1816     
734.2 1816     
734.3 1815     
734.4 1815     
