
X_km  Z_floor  
629.8 2270     
629.9 2269     
630   2275     
630.1 2289     
630.2 2296     
630.3 2311     
630.4 2323     
630.5 2338     
630.6 2337     
630.7 2342     
630.8 2346     
630.9 2345     
631   2348     
631.1 2349     
631.2 2344     
631.3 2322     
631.4 2291     
631.5 2320     
631.6 2321     
631.7 2323     
631.8 2323     
631.9 2321     
632   2321     
632.1 2325     
632.2 2332     
632.3 2338     
632.4 2339     
632.5 2336     
632.6 2334     
632.7 2330     
632.8 2316     
632.9 2299     
633   2266     
633.1 2233     
633.2 2231     
633.3 2223     
633.4 2214     
633.5 2176     
633.6 2175     
633.7 2176     
633.8 2177     
633.9 2177     
634   2175     
634.1 2186     
634.2 2180     
634.3 2189     
634.4 2188     
634.5 2184     
634.6 2184     
634.7 2181     
634.8 2178     
634.9 2179     
635   2154     
635.1 2166     
635.2 2179     
635.3 2190     
635.4 2202     
635.5 2212     
635.6 2223     
635.7 2223     
635.8 2225     
635.9 2227     
636   2231     
636.1 2232     
636.2 2235     
636.3 2244     
636.4 2241     
636.5 2243     
636.6 2247     
636.7 2251     
636.8 2255     
636.9 2272     
637   2270     
637.1 2268     
637.2 2264     
637.3 2260     
637.4 2255     
637.5 2250     
637.6 2246     
637.7 2241     
637.8 2240     
637.9 2241     
638   2245     
638.1 2252     
638.2 2260     
638.3 2269     
638.4 2277     
638.5 2284     
638.6 2288     
638.7 2292     
638.8 2294     
638.9 2295     
639   2293     
639.1 2293     
639.2 2293     
639.3 2293     
639.4 2290     
639.5 2283     
639.6 2269     
639.7 2250     
639.8 2229     
639.9 2208     
640   2187     
640.1 2168     
640.2 2149     
640.3 2134     
640.4 2122     
640.5 2115     
640.6 2112     
640.7 2111     
640.8 2111     
640.9 2112     
641   2114     
641.1 2117     
641.2 2121     
641.3 2126     
641.4 2131     
641.5 2138     
641.6 2144     
641.7 2151     
641.8 2159     
641.9 2166     
642   2174     
642.1 2181     
642.2 2187     
642.3 2192     
642.4 2196     
642.5 2201     
642.6 2205     
642.7 2208     
642.8 2210     
642.9 2212     
643   2214     
643.1 2214     
643.2 2214     
643.3 2214     
643.4 2213     
643.5 2211     
643.6 2208     
643.7 2202     
643.8 2192     
643.9 2178     
644   2161     
644.1 2144     
644.2 2139     
644.3 2145     
644.4 2156     
644.5 2163     
644.6 2174     
644.7 2193     
644.8 2219     
644.9 2246     
645   2268     
645.1 2284     
645.2 2294     
645.3 2299     
645.4 2303     
645.5 2305     
645.6 2307     
645.7 2308     
645.8 2307     
645.9 2305     
646   2301     
646.1 2298     
646.2 2294     
646.3 2290     
646.4 2286     
646.5 2283     
646.6 2282     
646.7 2284     
646.8 2286     
646.9 2288     
647   2290     
647.1 2293     
647.2 2295     
647.3 2298     
647.4 2301     
647.5 2305     
647.6 2310     
647.7 2316     
647.8 2323     
647.9 2334     
648   2343     
648.1 2350     
648.2 2351     
648.3 2350     
648.4 2348     
648.5 2346     
648.6 2343     
648.7 2339     
648.8 2333     
648.9 2323     
649   2308     
649.1 2290     
649.2 2272     
649.3 2256     
649.4 2241     
649.5 2230     
649.6 2223     
649.7 2220     
649.8 2220     
649.9 2223     
650   2226     
650.1 2230     
650.2 2234     
650.3 2237     
650.4 2241     
650.5 2245     
650.6 2248     
650.7 2250     
650.8 2253     
650.9 2256     
651   2258     
651.1 2261     
651.2 2264     
651.3 2268     
651.4 2273     
651.5 2277     
651.6 2282     
651.7 2287     
651.8 2291     
651.9 2293     
652   2294     
652.1 2291     
652.2 2285     
652.3 2276     
652.4 2266     
652.5 2259     
652.6 2257     
652.7 2257     
652.8 2259     
652.9 2261     
653   2263     
653.1 2266     
653.2 2269     
653.3 2272     
653.4 2277     
653.5 2282     
653.6 2289     
653.7 2295     
653.8 2301     
