
X_km  Z_floor  
629.7 3437     
629.8 3438     
629.9 3438     
630   3454     
630.1 3467     
630.2 3478     
630.3 3492     
630.4 3500     
630.5 3510     
630.6 3514     
630.7 3517     
630.8 3523     
630.9 3526     
631   3524     
631.1 3524     
631.2 3508     
631.3 3447     
631.4 3447     
631.5 3433     
631.6 3426     
631.7 3414     
631.8 3412     
631.9 3402     
632   3400     
632.1 3401     
632.2 3402     
632.3 3401     
632.4 3399     
632.5 3404     
632.6 3407     
632.7 3396     
632.8 3366     
632.9 3352     
633   3346     
633.1 3339     
633.2 3327     
633.3 3309     
633.4 3293     
633.5 3284     
633.6 3279     
633.7 3278     
633.8 3280     
633.9 3275     
634   3271     
634.1 3270     
634.2 3273     
634.3 3276     
634.4 3283     
634.5 3290     
634.6 3289     
634.7 3289     
634.8 3292     
634.9 3292     
635   3290     
635.1 3288     
635.2 3292     
635.3 3294     
635.4 3300     
635.5 3313     
635.6 3325     
635.7 3325     
635.8 3334     
635.9 3345     
636   3354     
636.1 3372     
636.2 3391     
636.3 3389     
636.4 3359     
636.5 3326     
636.6 3324     
636.7 3327     
636.8 3330     
636.9 3334     
637   3336     
637.1 3338     
637.2 3347     
637.3 3353     
637.4 3355     
637.5 3356     
637.6 3362     
637.7 3371     
637.8 3376     
637.9 3379     
638   3384     
638.1 3394     
638.2 3405     
638.3 3413     
638.4 3421     
638.5 3431     
638.6 3439     
638.7 3450     
638.8 3462     
638.9 3474     
639   3452     
639.1 3399     
639.2 3322     
639.3 3233     
639.4 3151     
639.5 3149     
639.6 3138     
639.7 3112     
639.8 3113     
639.9 3113     
640   3060     
640.1 3024     
640.2 3002     
640.3 2994     
640.4 3000     
640.5 3006     
640.6 3003     
640.7 3000     
640.8 2992     
640.9 2995     
641   3003     
641.1 3009     
641.2 3010     
641.3 3009     
641.4 3008     
641.5 3013     
641.6 3018     
641.7 3024     
641.8 3027     
641.9 3028     
642   3038     
642.1 3051     
642.2 3061     
642.3 3072     
642.4 3088     
642.5 3100     
642.6 3113     
642.7 3132     
642.8 3145     
642.9 3111     
643   3074     
643.1 3068     
643.2 3082     
643.3 3094     
643.4 3101     
643.5 3102     
643.6 3102     
643.7 3106     
643.8 3113     
643.9 3125     
644   3137     
644.1 3155     
644.2 3160     
644.3 3164     
644.4 3166     
644.5 3186     
644.6 3212     
644.7 3235     
644.8 3249     
644.9 3272     
645   3296     
645.1 3314     
645.2 3333     
645.3 3311     
645.4 3239     
645.5 3160     
645.6 3163     
645.7 3181     
645.8 3183     
645.9 3211     
646   3229     
646.1 3244     
646.2 3259     
646.3 3279     
646.4 3288     
646.5 3299     
646.6 3278     
646.7 3238     
646.8 3235     
646.9 3244     
647   3253     
647.1 3266     
647.2 3279     
647.3 3291     
647.4 3299     
647.5 3310     
647.6 3320     
647.7 3327     
647.8 3334     
647.9 3340     
648   3347     
648.1 3357     
648.2 3369     
648.3 3382     
648.4 3377     
648.5 3324     
648.6 3193     
648.7 3061     
648.8 3021     
648.9 3034     
649   3037     
649.1 3034     
649.2 3045     
649.3 3046     
649.4 3043     
649.5 3059     
649.6 3066     
649.7 3070     
649.8 3071     
649.9 3070     
650   3074     
650.1 3081     
650.2 3078     
650.3 3080     
650.4 3091     
650.5 3101     
650.6 3121     
650.7 3132     
650.8 3139     
650.9 3142     
651   3151     
651.1 3152     
651.2 3147     
651.3 3159     
651.4 3149     
651.5 3103     
651.6 3072     
651.7 3064     
651.8 3008     
651.9 3007     
652   3007     
652.1 3013     
652.2 3016     
652.3 3019     
652.4 3022     
652.5 3030     
652.6 3037     
652.7 3047     
652.8 3054     
652.9 3053     
653   3060     
653.1 3064     
653.2 3067     
653.3 3072     
653.4 3075     
653.5 3074     
653.6 3060     
653.7 3074     
653.8 3084     
653.9 3086     
654   3089     
654.1 3088     
654.2 3078     
654.3 3065     
654.4 3049     
654.5 3054     
654.6 3053     
654.7 3049     
654.8 3042     
654.9 3039     
655   3041     
655.1 3045     
655.2 3053     
655.3 3060     
655.4 3058     
655.5 3050     
655.6 3050     
