
X_km  Z_floor  
629.7 8420     
629.8 8422     
629.9 8423     
630   8423     
630.1 8423     
630.2 8421     
630.3 8418     
630.4 8414     
630.5 8409     
630.6 8403     
630.7 8396     
630.8 8388     
630.9 8379     
631   8369     
631.1 8359     
631.2 8348     
631.3 8337     
631.4 8325     
631.5 8313     
631.6 8301     
631.7 8288     
631.8 8275     
631.9 8261     
632   8247     
632.1 8233     
632.2 8218     
632.3 8203     
632.4 8188     
632.5 8172     
632.6 8157     
632.7 8140     
632.8 8124     
632.9 8107     
633   8088     
633.1 8069     
633.2 8049     
633.3 8028     
633.4 8005     
633.5 7983     
633.6 7960     
633.7 7937     
633.8 7915     
633.9 7894     
634   7875     
634.1 7856     
634.2 7839     
634.3 7822     
634.4 7805     
634.5 7787     
634.6 7769     
634.7 7748     
634.8 7725     
634.9 7701     
635   7674     
635.1 7645     
635.2 7615     
635.3 7584     
635.4 7553     
635.5 7521     
635.6 7490     
635.7 7460     
635.8 7432     
635.9 7405     
636   7380     
636.1 7357     
636.2 7336     
636.3 7317     
636.4 7300     
636.5 7284     
636.6 7270     
636.7 7256     
636.8 7243     
636.9 7232     
637   7221     
637.1 7211     
637.2 7201     
637.3 7192     
637.4 7184     
637.5 7175     
637.6 7166     
637.7 7155     
637.8 7144     
637.9 7131     
638   7117     
638.1 7103     
638.2 7089     
638.3 7075     
638.4 7063     
638.5 7053     
638.6 7044     
638.7 7037     
638.8 7030     
638.9 7022     
639   7014     
639.1 7003     
639.2 6991     
639.3 6976     
639.4 6961     
639.5 6945     
639.6 6929     
639.7 6914     
639.8 6901     
639.9 6889     
640   6880     
640.1 6872     
640.2 6865     
640.3 6860     
640.4 6855     
640.5 6851     
640.6 6847     
640.7 6844     
640.8 6842     
640.9 6840     
641   6839     
641.1 6839     
641.2 6839     
641.3 6840     
641.4 6840     
641.5 6840     
641.6 6840     
641.7 6838     
641.8 6836     
641.9 6833     
642   6830     
642.1 6826     
642.2 6822     
642.3 6818     
642.4 6815     
642.5 6813     
642.6 6811     
642.7 6810     
642.8 6810     
