
TWT  Vp  
0        1536.34
24       1536.34
48       1536.34
72       1536.34
96       1536.34
120      1536.34
144      1536.34
168      1775.34
192      1854.37
216      1940.68
240      2031.68
264      2116.39
288      2196.31
312      2268.78
336      2331.86
360      2384.8
384      2424.9
408      2458.68
432      2487.28
456      2511.33
480      2538.61
504      2559.75
528      2575.52
552      2586.71
576      2594.16
600      2598.71
624      2601.15
648      2602.16
672      2602.34
696      2602.1
720      2601.77
744      2601.09
768      2600.66
792      2600.59
816      2600.95
840      2601.63
864      2602.56
888      2603.58
912      2604.56
936      2605.46
960      2606.19
984      2608.35
1008     2611.15
1032     2614.88
1056     2627.47
1080     2645.49
1104     2664.79
1128     2685.31
1152     2706.97
1176     2729.78
1200     2753.88
1224     2779.33
1248     2806.1
1272     2834.11
1296     2863.17
1320     2893.02
1344     2925.02
1368     2959.28
1392     2998.17
1416     3045.4
1440     3102.8
1464     3166.15
1488     3228.38
1512     3289.61
1536     3356.58
1560     3421.55
1584     3477.58
1608     3522.96
1632     3560.75
1656     3593.98
1680     3624.28
1704     3649.47
1728     3672.92
1752     3694.29
1776     3713.23
1800     3729.63
1824     3743.5
1848     3755.16
1872     3765.13
1896     3774.05
1920     3782.29
1944     3791.36
1968     3801.52
1992     3812.9
2016     3825.51
2040     3839.23
2064     3853.78
2088     3868.28
2112     3883.32
2136     3898.71
2160     3914.28
2184     3930.05
2208     3946.28
2232     3963.45
2256     3982.15
2280     4002.89
2304     4025.97
2328     4051.37
2352     4078.83
2376     4107.38
2400     4138.22
2424     4170.63
2448     4203.87
2472     4237.2
2496     4269.88
2520     4301.26
2544     4329.39
2568     4356
2592     4381.34
2616     4405.88
2640     4430.14
2664     4454.56
2688     4479.46
2712     4505.04
2736     4531.16
2760     4557.46
2784     4583.36
2808     4608.07
2832     4630.93
2856     4651.46
2880     4669.55
2904     4685.53
2928     4700.12
2952     4714.32
2976     4729.11
3000     4745.28
3024     4763.26
3048     4782.97
3072     4803.89
3096     4825.2
3120     4845.89
3144     4865.2
3168     4882.52
3192     4897.64
3216     4910.65
3240     4921.88
3264     4931.75
3288     4940.72
3312     4949.31
3336     4957.97
3360     4967.11
3384     4977.18
3408     4988.49
3432     5001.36
3456     5015.91
3480     5032.18
3504     5049.97
3528     5069.07
3552     5089.06
3576     5109.57
3600     5130.21
3624     5150.61
3648     5170.55
3672     5189.83
3696     5208.34
3720     5226.11
3744     5243.19
3768     5259.71
3792     5275.83
3816     5291.7
3840     5307.42
3864     5323.02
3888     5338.51
3912     5353.85
3936     5368.91
3960     5383.55
3984     5397.6
4008     5410.9
4032     5423.34
4056     5434.85
4080     5445.44
4104     5455.17
4128     5464.14
4152     5472.46
4176     5480.25
4200     5487.62
4224     5494.69
4248     5501.55
4272     5508.28
4296     5514.94
4320     5521.57
4344     5528.17
4368     5534.75
4392     5541.26
4416     5547.7
4440     5554.05
4464     5560.3
4488     5566.5
4512     5572.69
4536     5578.93
4560     5585.3
4584     5591.88
4608     5598.73
4632     5605.93
4656     5613.52
4680     5621.52
4704     5629.95
4728     5638.79
4752     5648.04
4776     5657.65
4800     5667.6
4824     5677.84
4848     5688.31
4872     5698.96
4896     5709.76
4920     5720.64
4944     5731.57
4968     5742.52
4992     5753.46
5016     5764.4
5040     5775.32
5064     5786.23
5088     5797.16
5112     5808.13
5136     5819.15
5160     5830.26
5184     5841.49
5208     5852.86
5232     5864.38
5256     5876.07
5280     5887.95
5304     5900.02
5328     5912.27
